"","IdVote","RegistrationNumber","BusinessTitle","Subject","IdSession","NrValid","Yes","Result_share_yes","Result","ja_svp","ja_fdp","ja_cvp","ja_sp","ja_gruene","valid_svp","valid_fdp","valid_cvp","valid_sp","valid_gruene","ja_share_svp","ja_share_fdp","ja_share_cvp","ja_share_sp","ja_share_gruene"
"1",10256,6516,"Verbot der Gruppierung „Al-Qaïda“ und verwandter Organisationen","Gesamtabstimmung",4901,157,157,1,"Ja",46,20,27,34,14,46,20,27,34,14,1,1,1,1,1
"2",10262,6522,"Energiegesetz. Änderung","Gesamtabstimmung",4901,176,125,0.710227272727273,"Ja",2,18,28,42,15,49,26,29,42,15,0.0408163265306122,0.692307692307692,0.96551724137931,1,1
"3",10271,6531,"Uno-Feuerwaffenprotokoll. Umsetzung. Waffengesetz. Änderung","Gesamtabstimmung",4901,172,124,0.720930232558139,"Ja",0,24,25,42,14,45,27,28,42,14,0,0.888888888888889,0.892857142857143,1,1
"4",10272,6532,"Uno-Feuerwaffenprotokoll. Umsetzung. Waffengesetz. Änderung","Gesamtabstimmung",4901,177,129,0.728813559322034,"Ja",0,25,29,40,15,45,28,29,40,15,0,0.892857142857143,1,1,1
"5",10336,6596,"Voranschlag 2012","Gesamtabstimmung",4901,129,123,0.953488372093023,"Ja",40,25,25,7,12,48,25,25,42,12,0.833333333333333,1,1,0.166666666666667,1
"6",10340,6600,"Voranschlag 2012","Gesamtabstimmung",4901,156,156,1,"Ja",42,24,23,41,12,47,24,23,42,12,0.893617021276596,1,1,0.976190476190476,1
"7",10341,6601,"Voranschlag 2012","Gesamtabstimmung",4901,167,165,0.988023952095808,"Ja",47,25,23,43,12,50,25,23,43,12,0.94,1,1,1,1
"8",10342,6602,"Voranschlag 2012","Gesamtabstimmung",4901,168,168,1,"Ja",50,25,23,43,12,50,25,23,43,12,1,1,1,1,1
"9",10343,6603,"Voranschlag 2012","Gesamtabstimmung",4901,169,169,1,"Ja",48,26,25,43,12,49,26,25,43,12,0.979591836734694,1,1,1,1
"10",10344,6604,"Voranschlag 2011. Nachtrag IIb","Gesamtabstimmung",4901,168,167,0.994047619047619,"Ja",47,25,24,43,12,50,25,24,43,12,0.94,1,1,1,1
