"","ident","Successes","anwesend","valid","Sucess_share","enthaltung","Name","PersonNumber","ParlGroupName"
"1","Ada Marra_Sozialdemokratische Fraktion",2543,4369,4263,0.582055390249485,106,"Ada Marra",3923,"Sozialdemokratische Fraktion"
"2","Adèle Thorens Goumaz_Grüne Fraktion",2417,4118,3995,0.586935405536668,123,"Adèle Thorens Goumaz",3907,"Grüne Fraktion"
"3","Adrian Amstutz_Fraktion der Schweizerischen Volkspartei",2404,4132,4056,0.581800580832527,76,"Adrian Amstutz",1135,"Fraktion der Schweizerischen Volkspartei"
"4","Alain Ribaux_FDP-Liberale Fraktion",1534,1830,1816,0.838251366120219,14,"Alain Ribaux",4111,"FDP-Liberale Fraktion"
"5","Albert Rösti_Fraktion der Schweizerischen Volkspartei",2522,4201,4143,0.600333253987146,58,"Albert Rösti",4100,"Fraktion der Schweizerischen Volkspartei"
"6","Albert Vitali_FDP-Liberale Fraktion",3512,4324,4293,0.812210915818686,31,"Albert Vitali",4054,"FDP-Liberale Fraktion"
"7","Alec von Graffenried_Grüne Fraktion",2082,3355,3258,0.620566318926975,97,"Alec von Graffenried",3908,"Grüne Fraktion"
"8","Alexander Tschäppät_Sozialdemokratische Fraktion",2316,3891,3806,0.595219737856592,85,"Alexander Tschäppät",224,"Sozialdemokratische Fraktion"
"9","Alfred Heer_Fraktion der Schweizerischen Volkspartei",1972,3476,3407,0.567318757192175,69,"Alfred Heer",3887,"Fraktion der Schweizerischen Volkspartei"
"10","Aline Trede_Grüne Fraktion",1625,2940,2802,0.552721088435374,138,"Aline Trede",4128,"Grüne Fraktion"
"11","Alois Gmür_Fraktion CVP-EVP",3580,4223,4179,0.847738574473123,44,"Alois Gmür",4096,"Fraktion CVP-EVP"
"12","André Bugnon_Fraktion der Schweizerischen Volkspartei",2414,3975,3898,0.607295597484277,77,"André Bugnon",453,"Fraktion der Schweizerischen Volkspartei"
"13","Andrea Caroni_FDP-Liberale Fraktion",3200,4207,4014,0.760637033515569,193,"Andrea Caroni",4075,"FDP-Liberale Fraktion"
"14","Andrea Martina Geissbühler_Fraktion der Schweizerischen Volkspartei",2277,3928,3802,0.579684317718941,126,"Andrea Martina Geissbühler",3880,"Fraktion der Schweizerischen Volkspartei"
"15","Andreas Aebi_Fraktion der Schweizerischen Volkspartei",2514,4070,3939,0.617690417690418,131,"Andreas Aebi",3867,"Fraktion der Schweizerischen Volkspartei"
"16","Andreas Gross_Sozialdemokratische Fraktion",1577,2780,2655,0.56726618705036,125,"Andreas Gross",97,"Sozialdemokratische Fraktion"
"17","Andy Tschümperlin_Sozialdemokratische Fraktion",2608,4430,4384,0.588713318284424,46,"Andy Tschümperlin",3829,"Sozialdemokratische Fraktion"
"18","Anne Mahrer_Grüne Fraktion",1274,2157,2128,0.590635141400093,29,"Anne Mahrer",4136,"Grüne Fraktion"
"19","Antonio Hodgers_Grüne Fraktion",1127,1957,1901,0.575881451200818,56,"Antonio Hodgers",3889,"Grüne Fraktion"
"20","Balthasar Glättli_Grüne Fraktion",2533,4407,4287,0.57476741547538,120,"Balthasar Glättli",4093,"Grüne Fraktion"
"21","Barbara Gysi_Sozialdemokratische Fraktion",2505,4320,4217,0.579861111111111,103,"Barbara Gysi",4121,"Sozialdemokratische Fraktion"
"22","Barbara Schmid-Federer_Fraktion CVP-EVP",3067,3899,3640,0.786611951782508,259,"Barbara Schmid-Federer",3904,"Fraktion CVP-EVP"
"23","Bastien Girod_Grüne Fraktion",2421,4146,4013,0.583936324167873,133,"Bastien Girod",3882,"Grüne Fraktion"
"24","Bea Heim_Sozialdemokratische Fraktion",2518,4435,4223,0.567756482525366,212,"Bea Heim",1156,"Sozialdemokratische Fraktion"
"25","Beat Flach_Grünliberale Fraktion",3349,4332,4281,0.773084025854109,51,"Beat Flach",4059,"Grünliberale Fraktion"
"26","Beat Jans_Sozialdemokratische Fraktion",2590,4416,4327,0.586503623188406,89,"Beat Jans",4032,"Sozialdemokratische Fraktion"
"27","Beat Walti_FDP-Liberale Fraktion",1257,1576,1536,0.79758883248731,40,"Beat Walti",4142,"FDP-Liberale Fraktion"
"28","Bernhard Guhl_Fraktion BD",3695,4382,4303,0.843222272934733,79,"Bernhard Guhl",4082,"Fraktion BD"
"29","Bruno Pezzatti_FDP-Liberale Fraktion",3087,4101,3952,0.752743233357718,149,"Bruno Pezzatti",4084,"FDP-Liberale Fraktion"
"30","Bruno Zuppiger_Fraktion der Schweizerischen Volkspartei",428,771,736,0.555123216601816,35,"Bruno Zuppiger",526,"Fraktion der Schweizerischen Volkspartei"
"31","Carlo Sommaruga_Sozialdemokratische Fraktion",2277,3930,3810,0.579389312977099,120,"Carlo Sommaruga",1120,"Sozialdemokratische Fraktion"
"32","Caspar Baader_Fraktion der Schweizerischen Volkspartei",1568,2703,2628,0.580096189419164,75,"Caspar Baader",404,"Fraktion der Schweizerischen Volkspartei"
"33","Cédric Wermuth_Sozialdemokratische Fraktion",2417,4155,4033,0.581708784596871,122,"Cédric Wermuth",4057,"Sozialdemokratische Fraktion"
"34","Céline Amaudruz_Fraktion der Schweizerischen Volkspartei",2638,4341,4263,0.607694079705137,78,"Céline Amaudruz",4090,"Fraktion der Schweizerischen Volkspartei"
"35","Cesla Amarelle_Sozialdemokratische Fraktion",2488,4278,4181,0.581580177653109,97,"Cesla Amarelle",4107,"Sozialdemokratische Fraktion"
"36","Chantal Galladé_Sozialdemokratische Fraktion",2301,3776,3715,0.609375,61,"Chantal Galladé",1125,"Sozialdemokratische Fraktion"
"37","Christa Markwalder_FDP-Liberale Fraktion",3463,4258,4129,0.813292625645843,129,"Christa Markwalder",1139,"FDP-Liberale Fraktion"
"38","Christian Levrat_Sozialdemokratische Fraktion",362,565,553,0.64070796460177,12,"Christian Levrat",1150,"Sozialdemokratische Fraktion"
"39","Christian Lohr_Fraktion CVP-EVP",3483,4148,4052,0.839681774349084,96,"Christian Lohr",4118,"Fraktion CVP-EVP"
"40","Christian Lüscher_FDP-Liberale Fraktion",3335,4137,4000,0.806139714769156,137,"Christian Lüscher",3895,"FDP-Liberale Fraktion"
"41","Christian Miesch_Fraktion der Schweizerischen Volkspartei",795,1507,1504,0.527538155275382,3,"Christian Miesch",151,"Fraktion der Schweizerischen Volkspartei"
"42","Christian van Singer_Grüne Fraktion",2539,4394,4142,0.577833409194356,252,"Christian van Singer",3924,"Grüne Fraktion"
"43","Christian Wasserfallen_FDP-Liberale Fraktion",3290,4340,4156,0.758064516129032,184,"Christian Wasserfallen",3912,"FDP-Liberale Fraktion"
"44","Christine Bulliard-Marbach_Fraktion CVP-EVP",3569,4136,4106,0.862911025145068,30,"Christine Bulliard-Marbach",4101,"Fraktion CVP-EVP"
"45","Christine Häsler_Grüne Fraktion",298,512,503,0.58203125,9,"Christine Häsler",4149,"Grüne Fraktion"
"46","Christoph Blocher_Fraktion der Schweizerischen Volkspartei",971,1787,1733,0.543368774482373,54,"Christoph Blocher",21,"Fraktion der Schweizerischen Volkspartei"
"47","Christoph Mörgeli_Fraktion der Schweizerischen Volkspartei",2069,3647,3595,0.567315601864546,52,"Christoph Mörgeli",542,"Fraktion der Schweizerischen Volkspartei"
"48","Christophe Darbellay_Fraktion CVP-EVP",3175,3684,3632,0.861834961997828,52,"Christophe Darbellay",1133,"Fraktion CVP-EVP"
"49","Claudia Friedl_Sozialdemokratische Fraktion",1789,3058,3001,0.585022890778287,57,"Claudia Friedl",4131,"Sozialdemokratische Fraktion"
"50","Corina Eichenberger-Walther_FDP-Liberale Fraktion",3379,4212,4138,0.802231718898386,74,"Corina Eichenberger-Walther",3875,"FDP-Liberale Fraktion"
"51","Corrado Pardini_Sozialdemokratische Fraktion",2380,4060,3974,0.586206896551724,86,"Corrado Pardini",4045,"Sozialdemokratische Fraktion"
"52","Daniel Fässler_Fraktion CVP-EVP",2801,3585,3356,0.781311018131102,229,"Daniel Fässler",4056,"Fraktion CVP-EVP"
"53","Daniel Jositsch_Sozialdemokratische Fraktion",2334,3807,3745,0.613081166272656,62,"Daniel Jositsch",3891,"Sozialdemokratische Fraktion"
"54","Daniel Stolz_FDP-Liberale Fraktion",2453,3122,3004,0.785714285714286,118,"Daniel Stolz",4126,"FDP-Liberale Fraktion"
"55","Daniel Vischer_Grüne Fraktion",2384,4252,4045,0.560677328316087,207,"Daniel Vischer",1110,"Grüne Fraktion"
"56","Daniela Schneeberger_FDP-Liberale Fraktion",3579,4476,4458,0.799597855227882,18,"Daniela Schneeberger",4060,"FDP-Liberale Fraktion"
"57","Dominique de Buman_Fraktion CVP-EVP",3589,4354,4216,0.824299494717501,138,"Dominique de Buman",1124,"Fraktion CVP-EVP"
"58","Doris Fiala_FDP-Liberale Fraktion",3301,4181,4060,0.789524037311648,121,"Doris Fiala",3877,"FDP-Liberale Fraktion"
"59","Edith Graf-Litscher_Sozialdemokratische Fraktion",2610,4354,4303,0.599448782728526,51,"Edith Graf-Litscher",1295,"Sozialdemokratische Fraktion"
