"","ident","Successes","anwesend","valid","Sucess_share","enthaltung","Name","PersonNumber","ParlGroupName"
"1","Ada Marra_Sozialdemokratische Fraktion",609,734,697,0.829700272479564,37,"Ada Marra",3923,"Sozialdemokratische Fraktion"
"2","Adèle Thorens Goumaz_Grüne Fraktion",576,687,645,0.838427947598253,42,"Adèle Thorens Goumaz",3907,"Grüne Fraktion"
"3","Adrian Amstutz_Fraktion der Schweizerischen Volkspartei",362,689,647,0.525399129172714,42,"Adrian Amstutz",1135,"Fraktion der Schweizerischen Volkspartei"
"4","Alain Ribaux_FDP-Liberale Fraktion",320,341,339,0.93841642228739,2,"Alain Ribaux",4111,"FDP-Liberale Fraktion"
"5","Albert Rösti_Fraktion der Schweizerischen Volkspartei",406,691,661,0.587554269175109,30,"Albert Rösti",4100,"Fraktion der Schweizerischen Volkspartei"
"6","Albert Vitali_FDP-Liberale Fraktion",667,731,727,0.912448700410397,4,"Albert Vitali",4054,"FDP-Liberale Fraktion"
"7","Alec von Graffenried_Grüne Fraktion",520,581,563,0.895008605851979,18,"Alec von Graffenried",3908,"Grüne Fraktion"
"8","Alexander Tschäppät_Sozialdemokratische Fraktion",567,666,630,0.851351351351351,36,"Alexander Tschäppät",224,"Sozialdemokratische Fraktion"
"9","Alfred Heer_Fraktion der Schweizerischen Volkspartei",289,611,569,0.472995090016367,42,"Alfred Heer",3887,"Fraktion der Schweizerischen Volkspartei"
"10","Aline Trede_Grüne Fraktion",366,478,436,0.765690376569038,42,"Aline Trede",4128,"Grüne Fraktion"
"11","Alois Gmür_Fraktion CVP-EVP",684,719,717,0.951321279554937,2,"Alois Gmür",4096,"Fraktion CVP-EVP"
"12","André Bugnon_Fraktion der Schweizerischen Volkspartei",422,676,640,0.624260355029586,36,"André Bugnon",453,"Fraktion der Schweizerischen Volkspartei"
"13","Andrea Caroni_FDP-Liberale Fraktion",612,706,671,0.86685552407932,35,"Andrea Caroni",4075,"FDP-Liberale Fraktion"
"14","Andrea Martina Geissbühler_Fraktion der Schweizerischen Volkspartei",357,671,610,0.53204172876304,61,"Andrea Martina Geissbühler",3880,"Fraktion der Schweizerischen Volkspartei"
"15","Andreas Aebi_Fraktion der Schweizerischen Volkspartei",456,708,650,0.644067796610169,58,"Andreas Aebi",3867,"Fraktion der Schweizerischen Volkspartei"
"16","Andreas Gross_Sozialdemokratische Fraktion",410,502,465,0.816733067729084,37,"Andreas Gross",97,"Sozialdemokratische Fraktion"
"17","Andy Tschümperlin_Sozialdemokratische Fraktion",629,742,719,0.847708894878706,23,"Andy Tschümperlin",3829,"Sozialdemokratische Fraktion"
"18","Anne Mahrer_Grüne Fraktion",301,358,343,0.840782122905028,15,"Anne Mahrer",4136,"Grüne Fraktion"
"19","Antonio Hodgers_Grüne Fraktion",270,331,312,0.81570996978852,19,"Antonio Hodgers",3889,"Grüne Fraktion"
"20","Balthasar Glättli_Grüne Fraktion",596,742,698,0.803234501347709,44,"Balthasar Glättli",4093,"Grüne Fraktion"
"21","Barbara Gysi_Sozialdemokratische Fraktion",604,741,698,0.815114709851552,43,"Barbara Gysi",4121,"Sozialdemokratische Fraktion"
"22","Barbara Schmid-Federer_Fraktion CVP-EVP",618,652,633,0.947852760736196,19,"Barbara Schmid-Federer",3904,"Fraktion CVP-EVP"
"23","Bastien Girod_Grüne Fraktion",576,698,654,0.825214899713467,44,"Bastien Girod",3882,"Grüne Fraktion"
"24","Bea Heim_Sozialdemokratische Fraktion",595,739,674,0.805142083897158,65,"Bea Heim",1156,"Sozialdemokratische Fraktion"
"25","Beat Flach_Grünliberale Fraktion",672,724,717,0.92817679558011,7,"Beat Flach",4059,"Grünliberale Fraktion"
"26","Beat Jans_Sozialdemokratische Fraktion",621,736,703,0.84375,33,"Beat Jans",4032,"Sozialdemokratische Fraktion"
"27","Beat Walti_FDP-Liberale Fraktion",248,272,266,0.911764705882353,6,"Beat Walti",4142,"FDP-Liberale Fraktion"
"28","Bernhard Guhl_Fraktion BD",718,749,735,0.958611481975968,14,"Bernhard Guhl",4082,"Fraktion BD"
