"","ID","RegistrationNumber","BusinessTitle","IdLegislativePeriod","IdSession","Subject","SessionName"
"1",16344,12604,"Sperrung und Rückerstattung unrechtmässig erworbener Vermögenswerte ausländischer politisch exponierter Personen. Bundesgesetz",50,5001,"Art. 1  (die Abstimmung gilt auch für Art. 2 Bst. b, Art. 3 Abs. 1 Bst. a, b und c Ziff. 1 und 2, Art. 4 Abs. 1 Bst. a, b und c Ziff. 1 und 2, Art. 5 Abs. 1, Art. 14 Abs. 2 Bst. a und Art. 22 Abs. 3 Bst. a)","Wintersession 2015"
"2",16345,12605,"Sperrung und Rückerstattung unrechtmässig erworbener Vermögenswerte ausländischer politisch exponierter Personen. Bundesgesetz",50,5001,"Art. 14 Abs. 3","Wintersession 2015"
"3",16346,12606,"FIPOI. Finanzhilfen zum Wiederaufbau des IFRC in Genf",50,5001,"Gesamtabstimmung","Wintersession 2015"
"4",16354,12614,"FIPOI. Finanzhilfen zum Wiederaufbau des IFRC in Genf",50,5001,"Rückweisungsantrag","Wintersession 2015"
"5",16355,12615,"FIPOI. Finanzhilfen zum Wiederaufbau des IFRC in Genf",50,5001,"Art. 1 - Abstimmung nach der Regel über die Ausgabenbremse ","Wintersession 2015"
"6",16359,12619,"Für eine nachhaltige und ressourceneffiziente Wirtschaft (Grüne Wirtschaft). Volksinitiative und indirekter Gegenvorschlag",50,5001,"Art. 2","Wintersession 2015"
"7",16361,12621,"Schutz vor Gewalt aus dem nahen sozialen Umfeld",50,5001,NA,"Wintersession 2015"
"8",16362,12622,"Strafrechtsrevision rückgängig machen bezüglich Strafensystematik",50,5001,NA,"Wintersession 2015"
"9",16363,12623,"Abschaffung der Geldstrafen. Wiedereinführung von Bussen",50,5001,NA,"Wintersession 2015"
"10",16364,12624,"Anpassung des Finmag zur Stärkung von Ansehen und Wettbewerbsfähigkeit des Finanzplatzes",50,5001,NA,"Wintersession 2015"
"11",16366,12626,"Straflose Selbstanzeige befristen. Anreiz zu Steuerehrlichkeit mit der individuellen Amnestie",50,5001,NA,"Wintersession 2015"
"12",16367,12627,"Sicherung der Ernährungssicherheit",50,5001,NA,"Wintersession 2015"
"13",16368,12628,"Für eine umwelt- und klimafreundliche Energieversorgung",50,5001,NA,"Wintersession 2015"
"14",16369,12629,"Mitsprache und Rechtsstellung der Patientinnen und Patienten bei der Bestellung von Vertrauensärzten",50,5001,NA,"Wintersession 2015"
"15",16387,12647,"Weiterentwicklung der Armee. Änderung der Rechtsgrundlagen",50,5001,"Eintreten","Wintersession 2015"
"16",16388,12648,"Weiterentwicklung der Armee. Änderung der Rechtsgrundlagen",50,5001,"Art. 40c-40e (7. Kapitel)","Wintersession 2015"
"17",16389,12649,"Weiterentwicklung der Armee. Änderung der Rechtsgrundlagen",50,5001,"Art. 51 Abs. 2","Wintersession 2015"
"18",16390,12650,"Weiterentwicklung der Armee. Änderung der Rechtsgrundlagen",50,5001,"Art. 51 Abs. 2","Wintersession 2015"
"19",16391,12651,"Weiterentwicklung der Armee. Änderung der Rechtsgrundlagen",50,5001,"Art. 54a Abs. 3","Wintersession 2015"
"20",16392,12652,"Weiterentwicklung der Armee. Änderung der Rechtsgrundlagen",50,5001,"Art. 94","Wintersession 2015"
"21",16393,12653,"Weiterentwicklung der Armee. Änderung der Rechtsgrundlagen",50,5001,"Art. 124 Abs. 3","Wintersession 2015"
"22",16394,12654,"Weiterentwicklung der Armee. Änderung der Rechtsgrundlagen",50,5001,"Art. 151 Abs. 4","Wintersession 2015"
